Customer ID,Customer Name,Revenue,Profit,Orders,Cluster,Segment_Type
AT-10735,Annie Thurman,12984.2,2517.0,29,2,High Value
AT-435,Alyssa Tate,1288.2,-221.59999999999997,12,0,Low Value
AT-735,Annie Thurman,403.6,143.1,5,0,Low Value
AW-10840,Anthony Witt,13200.6,1444.6,25,1,Regular
AW-10930,Arthur Wiediger,10231.3,2586.2000000000003,22,1,Regular
AW-840,Anthony Witt,1947.0,-228.39999999999998,7,0,Low Value
AW-930,Arthur Wiediger,782.1,95.0,6,0,Low Value
AY-10555,Andy Yotov,5446.8,1850.3000000000002,16,1,Regular
AY-555,Andy Yotov,3096.7,440.3,11,0,Low Value
AZ-10750,Annie Zypern,9639.4,1606.2,18,1,Regular
AZ-750,Annie Zypern,2231.5,-682.0,10,0,Low Value
BB-10990,Barry Blumstein,9064.8,177.0,30,1,Regular
BB-11545,Brenda Bowman,15797.9,1686.8000000000002,26,1,Regular
BB-1545,Brenda Bowman,207.1,52.2,5,0,Low Value
BB-990,Barry Blumstein,822.4,122.30000000000001,7,0,Low Value
BC-11125,Becky Castell,14789.800000000001,2755.9,28,2,High Value
BC-1125,Becky Castell,396.0,-269.7,6,0,Low Value
BD-11320,Bill Donatelli,13390.1,1409.9,32,1,Regular
BD-11500,Bradley Drucker,13089.7,2412.5,27,1,Regular
BD-11560,Brendan Dodson,9356.9,1910.3,19,1,Regular
BD-11605,Brian Dahlen,9202.6,1201.4,19,1,Regular
BD-11620,Brian DeCherney,7849.2,448.40000000000003,25,1,Regular
BD-11635,Brian Derr,11230.9,1303.4,25,1,Regular
BD-11725,Bruce Degenhardt,10878.0,1574.2,30,1,Regular
BD-11770,Bryan Davis,10168.7,2397.9,26,1,Regular
BD-1320,Bill Donatelli,1885.1,213.1,6,0,Low Value
BD-1500,Bradley Drucker,52.1,-31.2,3,0,Low Value
BD-1560,Brendan Dodson,1564.0,114.89999999999999,5,0,Low Value
BD-1605,Brian Dahlen,689.6,224.39999999999998,5,0,Low Value
BD-1620,Brian DeCherney,2919.7000000000003,535.9,11,0,Low Value
BD-1635,Brian Derr,5689.2,1488.6,9,0,Low Value
BD-1725,Bruce Degenhardt,5078.5,901.0000000000001,13,0,Low Value
BD-1770,Bryan Davis,3405.0,-869.5,5,0,Low Value
BE-11335,Bill Eplett,27158.1,7791.1,37,2,High Value
BE-11410,Bobby Elias,16552.4,3398.2,30,2,High Value
BE-11455,Brad Eason,17643.9,517.8000000000001,27,1,Regular
BE-1335,Bill Eplett,1321.2,-380.5,5,0,Low Value
BE-1410,Bobby Elias,1859.8,391.0,7,0,Low Value
BE-1455,Brad Eason,1340.4,460.09999999999997,2,0,Low Value
BF-1005,Barry Franz,732.1,176.39999999999998,2,0,Low Value
BF-1020,Barry Französisch,3007.1,-193.19999999999996,7,0,Low Value
BF-1080,Bart Folk,3808.2999999999997,897.0,6,0,Low Value
BF-10975,Barbara Fisher,8104.7,1216.9,22,1,Regular
BF-11005,Barry Franz,23348.3,939.1999999999999,25,1,Regular
BF-11020,Barry Französisch,10201.6,1133.3,24,1,Regular
BF-11080,Bart Folk,10134.8,1187.5,21,1,Regular
BF-11170,Ben Ferrer,22315.3,3859.3,31,2,High Value
BF-11215,Benjamin Farhat,12969.2,879.0000000000001,27,1,Regular
BF-11275,Beth Fritzler,9579.0,564.6,23,1,Regular
BF-1170,Ben Ferrer,904.9000000000001,276.0,6,0,Low Value
BF-1215,Benjamin Farhat,398.90000000000003,-237.5,5,0,Low Value
BF-1275,Beth Fritzler,1010.1,96.5,7,0,Low Value
BF-975,Barbara Fisher,1730.1,616.7,8,0,Low Value
BG-1035,Barry Gonzalez,124.4,-219.8,1,0,Low Value
BG-11035,Barry Gonzalez,19899.1,1750.2,33,2,High Value
BG-11695,Brooke Gillingham,10723.5,569.1,19,1,Regular
BG-11740,Bruce Geld,14689.5,2084.6,24,1,Regular
BG-1695,Brooke Gillingham,488.8,-151.79999999999998,5,0,Low Value
BG-1740,Bruce Geld,692.4,-658.0999999999999,4,0,Low Value
BH-11710,Brosina Hoffman,23537.7,3244.1,31,2,High Value
BH-1710,Brosina Hoffman,4583.2,1633.1,10,0,Low Value
BK-11260,Berenike Kampe,13295.2,2389.7,27,1,Regular
BK-1260,Berenike Kampe,291.5,58.300000000000004,6,0,Low Value
BM-11140,Becky Martin,25312.3,-1140.9,29,1,Regular
BM-1140,Becky Martin,1857.8,43.59999999999997,6,0,Low Value
BM-11575,Brendan Murry,10351.3,-189.49999999999997,25,1,Regular
BM-11650,Brian Moss,14921.2,3927.0,24,2,High Value
BM-11785,Bryan Mills,18447.5,2037.2,36,2,High Value
BM-1575,Brendan Murry,1704.2,471.70000000000005,9,0,Low Value
BM-1650,Brian Moss,2537.1,458.59999999999997,8,0,Low Value
BM-1785,Bryan Mills,2244.4,476.1,9,0,Low Value
BN-11470,Brad Norvell,23378.3,1548.1,29,2,High Value
BN-11515,Bradley Nguyen,10272.6,2018.5,23,1,Regular
BN-1470,Brad Norvell,2823.9,576.1,7,0,Low Value
BN-1515,Bradley Nguyen,2606.9,525.5,8,0,Low Value
BO-11350,Bill Overfelt,7476.6,555.1999999999999,20,1,Regular
BO-11425,Bobby Odegard,12356.8,1904.8999999999999,21,1,Regular
BO-1350,Bill Overfelt,616.2,-139.9,6,0,Low Value
BO-1425,Bobby Odegard,2671.3,651.9,8,0,Low Value
BP-1050,Barry Pond,4981.7,1245.8,9,0,Low Value
BP-1095,Bart Pistole,1759.8,384.70000000000005,6,0,Low Value
BP-11050,Barry Pond,5403.9,845.2,21,1,Regular
BP-11095,Bart Pistole,8328.1,599.9,32,1,Regular
BP-11155,Becky Pak,13696.3,3395.1000000000004,24,2,High Value
BP-11185,Ben Peterman,15376.0,1989.2,28,1,Regular
BP-11230,Benjamin Patterson,12573.9,468.19999999999993,23,1,Regular
BP-11290,Beth Paige,12448.8,1858.6,29,1,Regular
BP-1155,Becky Pak,1111.0,180.9,6,0,Low Value
BP-1185,Ben Peterman,1430.9,-645.5,10,0,Low Value
BP-1230,Benjamin Patterson,6135.1,444.30000000000007,8,0,Low Value
BP-1290,Beth Paige,383.4,99.3,4,0,Low Value
BS-11365,Bill Shonely,22551.1,5681.099999999999,26,2,High Value
BS-11380,Bill Stewart,18306.2,1776.7,23,1,Regular
BS-11590,Brendan Sweed,11358.8,1783.5,23,1,Regular
BS-11665,Brian Stugart,17469.2,3112.2,24,2,High Value
BS-11755,Bruce Stewart,17557.8,1194.6,29,1,Regular
BS-11800,Bryan Spruell,10886.800000000001,1851.5,21,1,Regular
BS-1365,Bill Shonely,957.6,288.2,5,0,Low Value
BS-1380,Bill Stewart,469.6,38.3,5,0,Low Value
BS-1590,Brendan Sweed,819.6,262.3,5,0,Low Value
BS-1665,Brian Stugart,5102.0,500.8,7,0,Low Value
BS-1755,Bruce Stewart,1679.7,-697.7,5,0,Low Value
BS-1800,Bryan Spruell,6364.900000000001,931.4000000000001,9,0,Low Value
BT-11305,Beth Thompson,10322.1,908.4,24,1,Regular
BT-11395,Bill Tyler,11347.5,2744.1,24,2,High Value
BT-11440,Bobby Trafton,8264.199999999999,291.09999999999997,21,1,Regular
BT-11485,Brad Thomas,8878.1,1170.8,29,1,Regular
BT-11530,Bradley Talbott,13808.1,930.8000000000001,25,1,Regular
BT-11680,Brian Thompson,14087.9,1663.6999999999998,22,1,Regular
BT-1305,Beth Thompson,1306.1000000000001,-44.10000000000001,10,0,Low Value
BT-1395,Bill Tyler,448.9,-199.1,4,0,Low Value
BT-1440,Bobby Trafton,2132.7,-760.7,10,0,Low Value
BT-1485,Brad Thomas,2804.0,-231.10000000000008,9,0,Low Value
BT-1530,Bradley Talbott,1535.7,522.6,7,0,Low Value
BT-1680,Brian Thompson,807.3000000000001,131.6,4,0,Low Value
BV-11245,Benjamin Venier,20681.8,3415.0,22,2,High Value
BV-1245,Benjamin Venier,684.3,-595.3000000000001,3,0,Low Value
BW-1065,Barry Weirich,9027.6,3341.3,5,1,Regular
BW-11065,Barry Weirich,8409.5,353.9,18,1,Regular
BW-1110,Bart Watters,1696.9,258.3,10,0,Low Value
BW-11110,Bart Watters,30614.0,3337.2,35,2,High Value
BW-11200,Ben Wallace,11862.5,1568.0,29,1,Regular
BW-1200,Ben Wallace,3105.9,784.1,4,0,Low Value
CA-11965,Carol Adams,21110.7,3382.2000000000003,26,2,High Value
CA-12055,Cathy Armstrong,10690.9,1738.6,22,1,Regular
CA-12265,Christina Anderson,18473.2,3270.6,31,2,High Value
CA-12310,Christine Abelman,7166.6,728.1,21,1,Regular
CA-12775,Cynthia Arntzen,18350.9,4605.5,26,2,High Value
CA-1965,Carol Adams,2883.2,-103.00000000000001,8,0,Low Value
CA-2055,Cathy Armstrong,1601.7,131.4,3,0,Low Value
CA-2265,Christina Anderson,3364.6,391.5,7,0,Low Value
CA-2310,Christine Abelman,636.1,139.20000000000002,5,0,Low Value
CA-2775,Cynthia Arntzen,1485.8999999999999,-714.1,4,0,Low Value
CB-12025,Cassandra Brandow,11685.8,-98.69999999999997,25,1,Regular
CB-12415,Christy Brittain,12705.6,2272.0,23,1,Regular
CB-12535,Claudia Bergmann,18108.7,2402.2,27,2,High Value
CB-2025,Cassandra Brandow,1841.0,307.7,5,0,Low Value
CB-2415,Christy Brittain,1232.5,-184.70000000000002,4,0,Low Value
CB-2535,Claudia Bergmann,147.1,-234.6,2,0,Low Value
CC-12100,Chad Cunningham,11500.2,2384.2999999999997,25,1,Regular
CC-12145,Charles Crestani,12190.7,1472.0,24,1,Regular
CC-12220,Chris Cortes,7308.9,1315.8,32,1,Regular
CC-12370,Christopher Conant,28230.1,3983.1,30,2,High Value
CC-12430,Chuck Clark,13997.7,2780.2,29,2,High Value
CC-12475,Cindy Chapman,17160.5,3120.4,30,2,High Value
CC-12550,Clay Cheatham,7909.0,1167.2,25,1,Regular
CC-12610,Corey Catlett,16822.4,2950.1,29,2,High Value
CC-12670,Craig Carreira,9969.0,-549.5000000000001,28,1,Regular
CC-12685,Craig Carroll,12798.6,693.7,20,1,Regular
CC-2100,Chad Cunningham,1020.1,238.29999999999998,5,0,Low Value
CC-2145,Charles Crestani,1158.3,-164.1,6,0,Low Value
CC-2220,Chris Cortes,4174.4,1190.0,12,0,Low Value
CC-2370,Christopher Conant,6957.3,1620.3,9,0,Low Value
CC-2430,Chuck Clark,1041.6,160.6,2,0,Low Value
CC-2475,Cindy Chapman,3710.0,914.6,7,0,Low Value
CC-2550,Clay Cheatham,1433.4,357.1,5,0,Low Value
CC-2610,Corey Catlett,782.4,52.7,3,0,Low Value
CC-2670,Craig Carreira,1527.5,268.90000000000003,6,0,Low Value
CC-2685,Craig Carroll,4019.5,1556.3,5,0,Low Value
CD-11920,Carlos Daly,18297.3,4751.8,27,2,High Value
CD-11980,Carol Darley,11848.0,1648.3000000000002,23,1,Regular
CD-12280,Christina DeMoss,16779.9,2367.2,24,2,High Value
CD-12790,Cynthia Delaney,13468.5,2080.4,25,1,Regular
CD-1920,Carlos Daly,1821.3,277.2,4,0,Low Value
CD-1980,Carol Darley,1380.2,232.0,7,0,Low Value
CD-2280,Christina DeMoss,1205.1,224.4,7,0,Low Value
CD-2790,Cynthia Delaney,1031.0,73.60000000000001,7,0,Low Value
CG-12040,Catherine Glotzbach,3596.5,149.09999999999997,19,0,Low Value
CG-12520,Claire Gute,13545.7,2397.9,18,1,Regular
CG-2040,Catherine Glotzbach,519.1,-395.90000000000003,5,0,Low Value
CG-2520,Claire Gute,1116.3,168.39999999999998,7,0,Low Value
CH-12070,Cathy Hwang,11122.9,1493.3,21,1,Regular
CH-2070,Cathy Hwang,4545.7,1177.9,8,0,Low Value
CJ-11875,Carl Jackson,12538.8,1857.4,23,1,Regular
CJ-12010,Caroline Jumper,19356.1,2387.0,26,2,High Value
CJ-1875,Carl Jackson,1431.6,100.2,6,0,Low Value
CJ-2010,Caroline Jumper,223.60000000000002,30.9,3,0,Low Value
CK-12205,Chloris Kastensmidt,13625.3,1311.5,38,1,Regular
CK-12325,Christine Kargatis,9927.6,849.4999999999999,27,1,Regular
CK-12595,Clytie Kelty,16480.4,2175.7,33,2,High Value
CK-12760,Cyma Kinney,6575.1,-100.29999999999997,26,1,Regular
CK-2205,Chloris Kastensmidt,950.8000000000001,-345.5,5,0,Low Value
CK-2325,Christine Kargatis,3125.4,531.0,8,0,Low Value
CK-2595,Clytie Kelty,662.2,197.79999999999998,3,0,Low Value
CK-2760,Cyma Kinney,4016.1,625.7,12,0,Low Value
CL-11890,Carl Ludwig,17622.2,-247.3,31,1,Regular
CL-12565,Clay Ludtke,17008.2,614.5,30,1,Regular
CL-12700,Craig Leslie,17943.6,2563.3,31,2,High Value
CL-1890,Carl Ludwig,560.9,83.4,9,0,Low Value
CL-2565,Clay Ludtke,2775.6,708.9,6,0,Low Value
CL-2700,Craig Leslie,1432.3,106.89999999999999,4,0,Low Value
CM-11815,Candace McMahon,14363.0,-2881.6,23,1,Regular
CM-11830,Cari MacIntyre,16828.7,2445.0,24,2,High Value
CM-11935,Carlos Meador,9689.2,2081.2,18,1,Regular
CM-12115,Chad McGuire,14658.300000000001,2164.7999999999997,20,1,Regular
CM-12160,Charles McCrossin,17909.9,432.49999999999994,26,1,Regular
CM-12190,Charlotte Melton,11374.9,598.7,25,1,Regular
CM-12235,Chris McAfee,11377.6,1954.2,22,1,Regular
CM-12385,Christopher Martinez,21883.0,3030.2,25,2,High Value
CM-12445,Chuck Magee,11971.7,1188.0,25,1,Regular
CM-12655,Corinna Mitchell,14188.6,-734.0,18,1,Regular
CM-12715,Craig Molinari,8392.8,915.2,19,1,Regular
CM-1815,Candace McMahon,431.90000000000003,82.8,5,0,Low Value
CM-1830,Cari MacIntyre,4777.5,39.700000000000024,13,0,Low Value
CM-1935,Carlos Meador,459.3,125.4,7,0,Low Value
CM-2115,Chad McGuire,1907.4,277.6,3,0,Low Value
CM-2160,Charles McCrossin,2246.0,314.09999999999997,5,0,Low Value
CM-2190,Charlotte Melton,1451.6000000000001,-480.7999999999999,4,0,Low Value
CM-2235,Chris McAfee,243.0,-66.3,5,0,Low Value
CM-2385,Christopher Martinez,580.6999999999999,-19.899999999999995,4,0,Low Value
CM-2445,Chuck Magee,1741.5,288.5,4,0,Low Value
CM-2655,Corinna Mitchell,1389.7,-221.0,12,0,Low Value
CM-2715,Craig Molinari,2838.4,294.90000000000003,7,0,Low Value
CP-12085,Cathy Prescott,14183.800000000001,620.5,23,1,Regular
CP-12340,Christine Phan,20109.3,183.3999999999999,30,1,Regular
CP-2085,Cathy Prescott,5585.8,1130.2,10,0,Low Value
CP-2340,Christine Phan,5044.599999999999,1565.2,4,0,Low Value
CR-12580,Clay Rozendal,8700.6,818.0999999999999,20,1,Regular
CR-12625,Corey Roper,17271.2,1478.7,28,1,Regular
CR-12730,Craig Reiter,19488.2,1648.0,24,1,Regular
CR-12820,Cyra Reiten,14470.7,3391.2,24,2,High Value
CR-2580,Clay Rozendal,3057.2999999999997,1128.0,5,0,Low Value
CR-2625,Corey Roper,5080.0,866.9000000000001,9,0,Low Value
CR-2730,Craig Reiter,1359.5,-212.3,11,0,Low Value
CR-2820,Cyra Reiten,1188.1,-78.30000000000001,8,0,Low Value
CS-11845,Cari Sayre,20471.5,3275.0,26,2,High Value
CS-11860,Cari Schnelling,10556.0,970.4,21,1,Regular
CS-11950,Carlos Soltero,14223.1,-1148.3999999999999,31,1,Regular
CS-12130,Chad Sievert,10981.3,641.5,22,1,Regular
CS-12175,Charles Sheldon,16706.2,3113.8,29,2,High Value
CS-12250,Chris Selesnick,12496.3,2210.7,30,1,Regular
CS-12355,Christine Sundaresam,9241.2,-115.7,31,1,Regular
CS-12400,Christopher Schild,10221.6,1373.2,23,1,Regular
CS-12460,Chuck Sachs,20084.4,2801.2999999999997,23,2,High Value
CS-12490,Cindy Schnelling,11110.7,-422.40000000000003,30,1,Regular
CS-12505,Cindy Stewart,11535.3,-6437.3,16,0,Low Value
CS-1845,Cari Sayre,1593.3000000000002,-359.8,8,0,Low Value
CS-1860,Cari Schnelling,1618.7,349.59999999999997,9,0,Low Value
CS-1950,Carlos Soltero,714.0,148.0,5,0,Low Value
CS-2130,Chad Sievert,1367.2,-645.6,4,0,Low Value
CS-2175,Charles Sheldon,3340.2,1214.5,5,0,Low Value
CS-2250,Chris Selesnick,1917.6000000000001,391.59999999999997,4,0,Low Value
CS-2355,Christine Sundaresam,1307.0,114.5,9,0,Low Value
CS-2400,Christopher Schild,2293.0,706.9,5,0,Low Value
CS-2460,Chuck Sachs,2671.3,141.69999999999996,8,0,Low Value
CS-2490,Cindy Schnelling,1664.1000000000001,610.9,3,0,Low Value
CS-2505,Cindy Stewart,1894.6000000000001,286.0,7,0,Low Value
CT-11995,Carol Triggs,13715.9,2509.4,27,2,High Value
CT-1995,Carol Triggs,422.8,-71.6,2,0,Low Value
CV-12295,Christina VanderZanden,9042.4,1126.7,20,1,Regular
CV-12805,Cynthia Voltz,9764.1,1737.7,20,1,Regular
CV-2295,Christina VanderZanden,1283.1,-521.2,9,0,Low Value
CV-2805,Cynthia Voltz,5088.9,172.80000000000007,7,0,Low Value
CW-11905,Carl Weiss,12917.8,2635.8,25,2,High Value
CW-1905,Carl Weiss,1436.2,371.5,4,0,Low Value
CY-12745,Craig Yedwab,13928.5,1721.6,31,1,Regular
CY-2745,Craig Yedwab,292.90000000000003,-179.0,4,0,Low Value
Co-12640,Corey-Lock,12279.4,1294.9,25,1,Regular
Co-2640,Corey-Lock,767.8,-98.99999999999999,5,0,Low Value
DA-13450,Dianna Arnett,13035.4,-826.0999999999999,25,1,Regular
DA-3450,Dianna Arnett,2212.1,528.3,4,0,Low Value
DB-12910,Daniel Byrd,12338.1,782.0999999999999,27,1,Regular
DB-12970,Darren Budd,9166.3,463.3,11,0,Low Value
DB-13060,Dave Brooks,23477.1,3315.6,26,2,High Value
DB-13120,David Bremer,5602.9,-2028.7,16,0,Low Value
DB-13210,Dean Braden,13743.6,1480.2,27,1,Regular
DB-13270,Deborah Brumfield,11690.6,1420.2,25,1,Regular
DB-13360,Dennis Bolton,6919.9,848.3,28,1,Regular
DB-13405,Denny Blanton,16084.3,1989.0,26,1,Regular
DB-13555,Dorothy Badders,9415.6,942.9,22,1,Regular
DB-13615,Doug Bickford,10031.6,1995.4,28,1,Regular
DB-13660,Duane Benoit,11397.1,1267.3,20,1,Regular
DB-2910,Daniel Byrd,3051.3,874.9,8,0,Low Value
DB-2970,Darren Budd,512.9,123.80000000000001,4,0,Low Value
DB-3060,Dave Brooks,2070.3,336.7,8,0,Low Value
DB-3120,David Bremer,671.2,-242.20000000000002,4,0,Low Value
DB-3210,Dean Braden,387.1,-54.400000000000006,7,0,Low Value
DB-3270,Deborah Brumfield,886.4,219.7,2,0,Low Value
DB-3360,Dennis Bolton,3691.4,1074.3,2,0,Low Value
DB-3405,Denny Blanton,548.7,-30.299999999999997,2,0,Low Value
DB-3555,Dorothy Badders,971.1,299.2,3,0,Low Value
DB-3615,Doug Bickford,2824.3,972.3000000000001,4,0,Low Value
DB-3660,Duane Benoit,2207.7,150.4,3,0,Low Value
DC-12850,Dan Campbell,9307.7,-659.8,29,1,Regular
DC-13285,Debra Catini,16164.699999999999,1043.3,23,1,Regular
DC-2850,Dan Campbell,4131.1,589.0,9,0,Low Value
DC-3285,Debra Catini,799.9,-178.1,4,0,Low Value
DD-13570,Dorothy Dickinson,8741.6,959.9999999999999,24,1,Regular
DD-3570,Dorothy Dickinson,2331.4,439.8,8,0,Low Value
DE-13255,Deanra Eno,10085.5,1658.2,22,1,Regular
DE-3255,Deanra Eno,2714.5,77.70000000000003,8,0,Low Value
DF-13135,David Flashing,10240.4,474.20000000000005,18,1,Regular
DF-3135,David Flashing,1301.8,-111.0,4,0,Low Value
DG-13300,Deirdre Greer,13731.5,2067.2,28,1,Regular
